"nox"	"air_temp"
"575"	21.59376	2
"576"	20.77618	2
"577"	49.42752	2
"578"	21.44819	2
"579"	16.21815	2
"580"	15.34548	2
"581"	18.8793	2
"582"	15.90096	2
"583"	22.9635	2
"584"	25.6716	2
"585"	11.8466	2
"586"	10.4534	2
"587"	17.77519	2
"588"	29.27573	2
"589"	16.34699	2
"590"	69.28923	2
"591"	22.59915	2
"592"	42.27774	2
"593"	48.8483	2
"594"	110.25194	2.1
"595"	4.93915	2.1
"596"	12.36392	2.1
"597"	20.07573	2.1
"598"	28.27988	2.1
"599"	13.73171	2.1
"600"	17.18367	2.1
"601"	5.88885	2.1
"602"	21.83379	2.1
"603"	4.10394	2.1
"604"	150.96103	2.1
"605"	17.0981	2.1
"606"	17.31111	2.1
"607"	17.94339	2.1
"608"	27.6029	2.1
"609"	11.86682	2.1
"610"	13.26881	2.1
"611"	11.5664	2.1
"612"	94.98845	2.1
"613"	3.3955	2.1
"614"	24.33272	2.1
"615"	2.95453	2.1
"616"	41.60969	2.1
"617"	14.07919	2.1
"618"	28.25684	2.1
"619"	7.87847	2.2
"620"	2.59787	2.2
"621"	15.73152	2.2
"622"	23.57323	2.2
"623"	45.06273	2.2
"624"	8.33236	2.2
"625"	13.43241	2.2
"626"	68.89916	2.2
"627"	6.0481	2.2
"628"	11.41335	2.2
"629"	9.75576	2.2
"630"	16.05	2.2
"631"	9.50179	2.2
"632"	40.90867	2.2
"633"	17.06779	2.2
"634"	18.95955	2.2
"635"	40.32134	2.2
"636"	27.10918	2.2
"637"	21.76578	2.2
"638"	21.3736	2.2
"639"	82.48823	2.2
"640"	7.02708	2.2
"641"	56.92747	2.2
"642"	4.82189	2.2
"643"	51.19335	2.2
"644"	13.76138	2.3
"645"	15.62406	2.3
"646"	34.7844	2.3
"647"	22.90091	2.3
"648"	29.09296	2.3
"649"	16.49746	2.3
"650"	25.38718	2.3
"651"	82.58893	2.3
"652"	15.91449	2.3
"653"	6.73302	2.3
"654"	6.60315	2.3
"655"	10.49822	2.3
"656"	9.45085	2.3
"657"	2.44543	2.3
"658"	20.94223	2.3
"659"	22.46098	2.3
"660"	19.00991	2.4
"661"	10.28399	2.4
"662"	10.76681	2.4
"663"	8.42925	2.4
"664"	14.82132	2.4
"665"	71.25884	2.4
"666"	13.11146	2.4
"667"	11.55751	2.4
"668"	34.8464	2.4
"669"	11.49944	2.4
"670"	30.55147	2.4
"671"	6.89353	2.4
"672"	16.51846	2.4
"673"	22.99054	2.4
"674"	16.32979	2.4
"675"	16.03024	2.4
"676"	7.41722	2.4
"677"	23.35188	2.4
"678"	28.86825	2.4
"679"	47.21213	2.4
"680"	17.21611	2.4
"681"	29.47081	2.4
"682"	5.78919	2.4
"683"	4.94078	2.4
"684"	35.92264	2.4
"685"	20.43346	2.4
"686"	12.1232	2.4
"687"	39.41631	2.4
"688"	23.53213	2.4
"689"	71.54334	2.4
"690"	40.24601	2.4
"691"	59.38547	2.4
"692"	62.53173	2.4
"693"	13.03879	2.4
"694"	2.46211	2.4
"695"	22.70628	2.5
"696"	16.56167	2.5
"697"	13.34534	2.5
"698"	17.06628	2.5
"699"	14.37414	2.5
"700"	15.20233	2.5
"701"	15.74284	2.5
"702"	1.60708	2.5
"703"	11.04065	2.5
"704"	9.40143	2.5
"705"	12.44159	2.5
"706"	12.58739	2.5
"707"	13.99678	2.5
"708"	4.47747	2.5
"709"	12.59118	2.5
"710"	26.54734	2.5
"711"	5.68739	2.5
"712"	16.11354	2.5
"713"	30.01656	2.5
"714"	14.43531	2.5
"715"	33.43435	2.5
"716"	14.80642	2.5
"717"	11.54743	2.5
